epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7011,1.6015,6.42143,1.20515,0.04839,0.05,0.02753,0.0088,1.67398,5.71533,0.94911,0.0964,0.0004,0.0004
2,23.0625,1.7459,6.18826,1.24623,0.23433,0.21667,0.17461,0.07657,1.62635,3.81291,0.90303,0.0918911,0.00089109,0.00089109
3,27.8215,1.621,4.47356,1.31852,0.28543,0.23333,0.2302,0.10301,1.58013,3.11919,0.88307,0.0873723,0.00137228,0.00137228
4,32.7367,1.33094,4.06568,1.14965,0.81236,0.25,0.25045,0.14145,1.39224,3.05677,0.87059,0.0828436,0.00184357,0.00184357
5,37.6306,1.23127,3.60808,1.06684,0.784,0.26667,0.26755,0.15841,1.33456,2.51713,0.86401,0.078305,0.00230496,0.00230496
6,42.1496,1.61317,2.79891,1.10259,0.86695,0.23333,0.26475,0.14016,1.43011,2.54848,0.90884,0.0737565,0.00275645,0.00275645
7,46.3785,1.40859,2.21013,1.08119,0.47754,0.32635,0.31665,0.17707,1.372,1.68098,0.88579,0.069198,0.00319804,0.00319804
8,50.7829,1.46729,2.34321,1.18172,0.47754,0.32635,0.31665,0.17707,1.372,1.68098,0.88579,0.0646297,0.00362973,0.00362973
9,55.1653,1.46595,2.22892,1.12161,0.90654,0.28333,0.31679,0.1753,1.32885,2.04628,0.9036,0.0600515,0.00405152,0.00405152
10,59.5851,1.42797,1.74955,1.15003,0.46122,0.30272,0.27663,0.16501,1.5025,1.94991,0.89309,0.0554634,0.00446341,0.00446341
11,63.8936,1.24138,2.09466,1.02518,0.46122,0.30272,0.27663,0.16501,1.5025,1.94991,0.89309,0.0508654,0.0048654,0.0048654
12,68.1453,1.35564,2.1849,1.17053,0.94112,0.24976,0.26593,0.16324,1.44612,1.74444,0.93527,0.0462575,0.00525749,0.00525749
13,72.3338,1.19006,1.77747,1.00166,0.94112,0.24976,0.26593,0.16324,1.44612,1.74444,0.93527,0.0416397,0.00563968,0.00563968
14,76.6408,1.16097,1.42829,0.99451,0.94112,0.24976,0.26593,0.16324,1.44612,1.74444,0.93527,0.037012,0.00601197,0.00601197
15,80.8732,1.29457,2.05264,1.01214,0.54115,0.2407,0.28574,0.1495,1.47123,2.33801,0.87097,0.0323744,0.00637436,0.00637436
16,85.1729,1.2702,1.99905,1.05417,0.54115,0.2407,0.28574,0.1495,1.47123,2.33801,0.87097,0.0277268,0.00672685,0.00672685
17,89.7112,1.31773,2.20509,1.00312,0.54115,0.2407,0.28574,0.1495,1.47123,2.33801,0.87097,0.0230694,0.00706944,0.00706944
18,94.3604,1.30337,3.50688,0.97774,0.39739,0.37534,0.33231,0.18154,1.29361,3.61853,0.87891,0.0184021,0.00740213,0.00740213
19,98.9638,1.03357,5.86014,0.84214,0.39739,0.37534,0.33231,0.18154,1.29361,3.61853,0.87891,0.0137249,0.00772492,0.00772492
20,103.431,1.3184,2.36096,1.12601,0.39739,0.37534,0.33231,0.18154,1.29361,3.61853,0.87891,0.00903781,0.00803781,0.00803781
21,108.06,1.38292,2.04102,1.11119,0.50472,0.30172,0.29077,0.16448,1.36642,1.43184,0.91885,0.00802,0.00802,0.00802
22,112.263,1.25962,1.65055,1.09397,0.50472,0.30172,0.29077,0.16448,1.36642,1.43184,0.91885,0.007921,0.007921,0.007921
23,117.718,1.15727,1.33139,0.96153,0.50472,0.30172,0.29077,0.16448,1.36642,1.43184,0.91885,0.007822,0.007822,0.007822
24,127.41,1.78754,3.97081,1.39375,0.39732,0.35294,0.32372,0.17284,1.51732,2.20852,0.96537,0.007723,0.007723,0.007723
25,131.525,1.07564,1.60958,0.96308,0.39732,0.35294,0.32372,0.17284,1.51732,2.20852,0.96537,0.007624,0.007624,0.007624
26,136.336,1.26134,1.69027,1.04839,0.39732,0.35294,0.32372,0.17284,1.51732,2.20852,0.96537,0.007525,0.007525,0.007525
27,141.185,1.30122,1.7326,1.03453,0.64412,0.37305,0.35375,0.197,1.49642,1.29944,0.9241,0.007426,0.007426,0.007426
28,145.382,1.28139,1.87103,0.99675,0.64412,0.37305,0.35375,0.197,1.49642,1.29944,0.9241,0.007327,0.007327,0.007327
29,149.582,1.14719,2.63158,0.82667,0.64412,0.37305,0.35375,0.197,1.49642,1.29944,0.9241,0.007228,0.007228,0.007228
30,153.754,1.19982,1.55885,1.03764,0.46446,0.29927,0.28488,0.16037,1.36729,2.56057,0.89384,0.007129,0.007129,0.007129
31,157.793,1.37742,1.77285,1.05833,0.46446,0.29927,0.28488,0.16037,1.36729,2.56057,0.89384,0.00703,0.00703,0.00703
32,161.805,1.04202,1.30652,0.98467,0.46446,0.29927,0.28488,0.16037,1.36729,2.56057,0.89384,0.006931,0.006931,0.006931
33,165.741,1.16621,1.37425,0.96302,0.46446,0.29927,0.28488,0.16037,1.36729,2.56057,0.89384,0.006832,0.006832,0.006832
34,169.733,1.47727,2.00691,1.23207,0.5937,0.21839,0.23475,0.15152,1.49766,1.78957,0.87531,0.006733,0.006733,0.006733
35,173.812,1.1855,1.34257,0.996,0.5937,0.21839,0.23475,0.15152,1.49766,1.78957,0.87531,0.006634,0.006634,0.006634
36,177.823,1.00535,1.35168,0.96527,0.5937,0.21839,0.23475,0.15152,1.49766,1.78957,0.87531,0.006535,0.006535,0.006535
37,181.933,1.04438,1.10796,0.92754,0.58547,0.25147,0.27193,0.1561,1.55906,1.50828,0.8984,0.006436,0.006436,0.006436
38,185.982,1.03516,1.08157,0.96195,0.58547,0.25147,0.27193,0.1561,1.55906,1.50828,0.8984,0.006337,0.006337,0.006337
39,189.492,1.12215,1.10724,0.97609,0.58547,0.25147,0.27193,0.1561,1.55906,1.50828,0.8984,0.006238,0.006238,0.006238
40,193.02,1.14675,1.23581,0.91201,0.47053,0.31954,0.2957,0.15035,1.52052,1.24854,0.9296,0.006139,0.006139,0.006139
41,196.663,1.18584,0.99754,0.90213,0.47053,0.31954,0.2957,0.15035,1.52052,1.24854,0.9296,0.00604,0.00604,0.00604
42,200.363,1.09708,1.00045,1.02394,0.47053,0.31954,0.2957,0.15035,1.52052,1.24854,0.9296,0.005941,0.005941,0.005941
43,203.938,1.08059,0.98787,0.97593,0.51848,0.30287,0.28056,0.14985,1.50681,1.74779,0.98004,0.005842,0.005842,0.005842
44,207.576,1.18265,1.23614,1.03556,0.51848,0.30287,0.28056,0.14985,1.50681,1.74779,0.98004,0.005743,0.005743,0.005743
45,211.066,1.15089,1.04875,0.92728,0.51848,0.30287,0.28056,0.14985,1.50681,1.74779,0.98004,0.005644,0.005644,0.005644
46,214.695,1.44568,2.64217,1.06062,0.59367,0.27709,0.31229,0.16943,1.39019,1.25037,0.9219,0.005545,0.005545,0.005545
47,218.337,1.21133,1.16332,0.94782,0.59367,0.27709,0.31229,0.16943,1.39019,1.25037,0.9219,0.005446,0.005446,0.005446
48,222.115,1.09854,1.28949,1.03611,0.59367,0.27709,0.31229,0.16943,1.39019,1.25037,0.9219,0.005347,0.005347,0.005347
49,225.834,1.07707,1.12902,0.97808,0.59367,0.27709,0.31229,0.16943,1.39019,1.25037,0.9219,0.005248,0.005248,0.005248
50,229.451,1.25171,1.07746,1.15381,0.76768,0.2847,0.30203,0.17367,1.42374,1.27619,0.9218,0.005149,0.005149,0.005149
51,233.082,1.20441,1.06384,1.08514,0.76768,0.2847,0.30203,0.17367,1.42374,1.27619,0.9218,0.00505,0.00505,0.00505
52,236.673,1.03301,0.82468,0.94153,0.76768,0.2847,0.30203,0.17367,1.42374,1.27619,0.9218,0.004951,0.004951,0.004951
53,240.262,1.13687,0.88109,1.07038,0.59956,0.32835,0.33436,0.18003,1.46138,1.20542,0.90983,0.004852,0.004852,0.004852
54,243.719,1.01888,0.7779,0.97415,0.59956,0.32835,0.33436,0.18003,1.46138,1.20542,0.90983,0.004753,0.004753,0.004753
55,247.288,0.81992,1.36924,0.76063,0.59956,0.32835,0.33436,0.18003,1.46138,1.20542,0.90983,0.004654,0.004654,0.004654
56,250.878,1.25988,1.0839,1.03448,0.87228,0.31897,0.34423,0.20352,1.38684,1.04907,0.88293,0.004555,0.004555,0.004555
57,254.611,0.98374,0.98132,0.93989,0.87228,0.31897,0.34423,0.20352,1.38684,1.04907,0.88293,0.004456,0.004456,0.004456
58,258.166,0.95614,0.84804,0.96122,0.87228,0.31897,0.34423,0.20352,1.38684,1.04907,0.88293,0.004357,0.004357,0.004357
